sample id	Sequencing run	Sampling date	Sampling duration (min)	area	Sampling number	DZMZ Lfd Nummer	DSMZ Probe 	DSMZ Barcode	DSMZ Index	Object number SPK	Object number MfN	Spot number	Sample	Institution	Collection	Type of room	Object	Material	Stone type	Color	Inv. number	Spot	Height	Touched	Comments	Comments 2
L20	first	10/8/2020	1	small	20		L_20	10	1	5		10	2	SPK	VAM	exhibition	Ishtar Gate, right side	Glazed Ceramic		blue		Blue tile (splinter), low level, right of 2. flower			same splinter but different parts	
L21	first	10/8/2020	1	small	21		L_21	11	1	5		11	1	SPK	VAM	exhibition	Ishtar Gate, right side	Glazed Ceramic		blue		Blue tile back of "chamois", middle level		(x)	upper left part	
L22	first	10/8/2020	1	small	22		L_22	39	1	5		11	2	SPK	VAM	exhibition	Ishtar Gate, right side	Glazed Ceramic		blue		Blue tile back of "chamois", middle level		(x)	lower right part	
L23	first	10/8/2020	1	small	23		L_23	40	1	5		12	1	SPK	VAM	exhibition	Ishtar Gate, right side	Glazed Ceramic		blue		Blue tile, new, high level, 2. row beneath fantasy animal, right beneath the left foot/hoof			upper part	
L24	first	10/8/2020	1	small	24		L_24	12	1	5		12	2	SPK	VAM	exhibition	Ishtar Gate, right side	Glazed Ceramic		blue		Blue tile, new, high level, 2. row beneath fantasy animal, right beneath the left foot/hoof			lower part	
L25	first	10/8/2020	1	small	25		L_25	41	1	5		13	1	SPK	VAM	exhibition	Ishtar Gate, right side	Glazed Ceramic		blue		Blue tile, new, very high level, 4. pinnacle from right, 2. row of 2. level 			left part, very dusty! top Gate	
L26	first	10/8/2020	1	small	26		L_26	13	1	5		13	2	SPK	VAM	exhibition	Ishtar Gate, right side	Glazed Ceramic		blue		Blue tile, new, very high level, 4. pinnacle from right, 2. row of 2. level 			right part, very dusty! top Gate	
L27	first	10/8/2020	1	small	27		L_27	42	1	6		14	1	SPK	ANT	exhibition / construction side	Hellenistic Hall (column on the right)	(artificial) stone	Mortar			Column on eastern wall, column on the right, lowest part		x	artificial stone low	
L28	first	10/8/2020	1	small	28		L_28	14	1	6		14	2	SPK	ANT	exhibition / construction side	Hellenistic Hall (column on the right)	(artificial) stone	Mortar			Column on eastern wall, column on the right, lowest part		x	artificial stone low	
L29	first	10/8/2020	1	small	29		L_29	43	1	7		15	1	SPK	ANT	exhibition / construction side	Zeus Sosipolis Tempel, Hellenistic Hall	Stone	Marble			Temple, roof, right side			high	
L30	first	10/8/2020	1	small	30		L_30	15	1	7		15	2	SPK	ANT	exhibition / construction side	Zeus Sosipolis Tempel, Hellenistic Hall	Stone	Marble			Temple, roof, right side			high	
L31	first	10/8/2020	1	small	31		L_31	45	1	7		16	1	SPK	ANT	exhibition / construction side	Zeus Sosipolis Tempel, Hellenistic Hall	Stone	Marble			Temple, head of pillar, left side			middle	
L32	first	10/8/2020	1	small	32		L_32	16	1	7		16	2	SPK	ANT	exhibition / construction side	Zeus Sosipolis Tempel, Hellenistic Hall	Stone	Marble			Temple, head of pillar, left side			middle	
L33	first	10/8/2020	1	small	33		L_33	46	1	7		17	1	SPK	ANT	exhibition / construction side	Zeus Sosipolis Tempel, Hellenistic Hall	Stone	Marble			Temple, column base		(x)	behind textile coat	
